id,type,category,name,translation,file,sounds,error,ini
2053,PACENOTE,CORNERS,PLUSRIGHT,3 Rechts+,two_right_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2053,PACENOTE,CORNERS,PLUSRIGHT,3 Rechts+,two_right_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2054,PACENOTE,CORNERS,MINUSRIGHT,1 Rechts+,one_right_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2054,PACENOTE,CORNERS,MINUSRIGHT,1 Rechts+,one_right_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2055,PACENOTE,CORNERS,VERYSLOWRIGHT,Kehre Rechts+,hp_right_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2055,PACENOTE,CORNERS,VERYSLOWRIGHT,Kehre Rechts+,hp_right_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2056,PACENOTE,CORNERS,FLATLEFTMINUS,6 Links+,five_left_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2056,PACENOTE,CORNERS,FLATLEFTMINUS,6 Links+,five_left_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2057,PACENOTE,CORNERS,QUICKLEFT,5 Links+,four_left_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2057,PACENOTE,CORNERS,QUICKLEFT,5 Links+,four_left_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2058,PACENOTE,CORNERS,EMLEFT,4 Links+,three_left_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2058,PACENOTE,CORNERS,EMLEFT,4 Links+,three_left_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2059,PACENOTE,CORNERS,PLUSLEFT,3 Links+,two_left_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2059,PACENOTE,CORNERS,PLUSLEFT,3 Links+,two_left_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2060,PACENOTE,CORNERS,MINUSLEFT,1 Links+,one_left_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2060,PACENOTE,CORNERS,MINUSLEFT,1 Links+,one_left_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2061,PACENOTE,CORNERS,VERYSLOWLEFT,Kehre Links+,hp_left_plus.ogg,1,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2061,PACENOTE,CORNERS,VERYSLOWLEFT,Kehre Links+,hp_left_plus.ogg,1,,pacenotes/Rbr.ini/corners/Descriptive.ini
2062,PACENOTE,ADJECTIVES,TIGHTENSTOFLATMINUS,Enger 6+,tightens_five_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2062,PACENOTE,ADJECTIVES,TIGHTENSTOFLATMINUS,Enger 6+,tightens_five_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2063,PACENOTE,ADJECTIVES,TIGHTENSTOQUICK,Enger 5+,tightens_four_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2063,PACENOTE,ADJECTIVES,TIGHTENSTOQUICK,Enger 5+,tightens_four_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2064,PACENOTE,ADJECTIVES,TIGHTENSTOEM,Enger 4+,tightens_three_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2064,PACENOTE,ADJECTIVES,TIGHTENSTOEM,Enger 4+,tightens_three_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2065,PACENOTE,ADJECTIVES,TIGHTENSTOPLUS,Enger 3+,tightens_two_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2065,PACENOTE,ADJECTIVES,TIGHTENSTOPLUS,Enger 3+,tightens_two_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2066,PACENOTE,ADJECTIVES,TIGHTENSTOMINUS,Enger 1+,tightens_one_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2066,PACENOTE,ADJECTIVES,TIGHTENSTOMINUS,Enger 1+,tightens_one_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2067,PACENOTE,ADJECTIVES,TIGHTENSTOVERYSLOW,Enger Kehre+,tightens_hp_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2067,PACENOTE,ADJECTIVES,TIGHTENSTOVERYSLOW,Enger Kehre+,tightens_hp_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2068,PACENOTE,ADJECTIVES,TOFLATMINUS,Auf 6+,_five_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2068,PACENOTE,ADJECTIVES,TOFLATMINUS,Auf 6+,_five_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2069,PACENOTE,ADJECTIVES,TOQUICK,Auf 5+,_four_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2069,PACENOTE,ADJECTIVES,TOQUICK,Auf 5+,_four_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2070,PACENOTE,ADJECTIVES,TOEM,Auf 4+,_three_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2070,PACENOTE,ADJECTIVES,TOEM,Auf 4+,_three_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2071,PACENOTE,ADJECTIVES,TOPLUS,Auf 3+,_two_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2071,PACENOTE,ADJECTIVES,TOPLUS,Auf 3+,_two_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2072,PACENOTE,ADJECTIVES,TOMINUS,Auf 1+,_one_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2072,PACENOTE,ADJECTIVES,TOMINUS,Auf 1+,_one_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2073,PACENOTE,ADJECTIVES,TOVERYSLOW,Auf Kehre+,_hp_plus.ogg,3,,pacenotes/Rbr.ini/packages/Extended.ini/adjectives/Extended.ini
2073,PACENOTE,ADJECTIVES,TOVERYSLOW,Auf Kehre+,_hp_plus.ogg,3,,pacenotes/Rbr.ini/adjectives/Extended.ini
2074,PACENOTE,CORNERS,FLATMINUS_SCALE,6+,five_plus_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2074,PACENOTE,CORNERS,FLATMINUS_SCALE,6+,five_plus_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2075,PACENOTE,CORNERS,EASY_SCALE,6,five_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2075,PACENOTE,CORNERS,EASY_SCALE,6,five_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2076,PACENOTE,CORNERS,QUICK_SCALE,5+,four_plus_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2076,PACENOTE,CORNERS,QUICK_SCALE,5+,four_plus_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
2077,PACENOTE,CORNERS,FAST_SCALE,5,four_scale.ogg,3,,pacenotes/Rbr.ini/packages/Descriptive.ini/corners/Descriptive.ini
2077,PACENOTE,CORNERS,FAST_SCALE,5,four_scale.ogg,3,,pacenotes/Rbr.ini/corners/Descriptive.ini
