id,type,name,translation,file,sounds,ini
-1,NUMBER,NUMBERS,,p5~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p6~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p7~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p8~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p9~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p10~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p11~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p12~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p13~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p14~,15,Audio/NumOther.ini
-1,NUMBER,NUMBERS,,p15~,15,Audio/NumOther.ini
-1,PACENOTE,ONTO,Hinein,onto.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,ONTO,Hinein,onto.ogg,1,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,ONTO,Hinein,onto.ogg,1,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,ONTO,Hinein,onto.ogg,1,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,PLACE_HOLDER,Platzhalter,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,PLACE_HOLDER,Platzhalter,,0,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,PLACE_HOLDER,Platzhalter,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,PLACE_HOLDER,Platzhalter,,0,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,SOUND_FILE,Sound Datei,,0,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,SOUND_FILE,Sound Datei,,0,pacenotes/Rbr.ini/modifier/Extended.ini
-1,PACENOTE,SOUND_FILE,Sound Datei,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,SOUND_FILE,Sound Datei,,0,pacenotes/Rbr-Enhanced.ini/modifier/Extended.ini
-1,PACENOTE,SOUND_INDEX,Sound Index,,0,pacenotes/Rbr.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,SOUND_INDEX,Sound Index,,0,pacenotes/Rbr.ini/links/Extended.ini
-1,PACENOTE,SOUND_INDEX,Sound Index,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/links/Extended.ini
-1,PACENOTE,SOUND_INDEX,Sound Index,,0,pacenotes/Rbr-Enhanced.ini/links/Extended.ini
-1,PACENOTE,STANDARD_CALL,Standardansage,,0,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,STANDARD_CALL,Standardansage,,0,pacenotes/Rbr.ini/modifier/Extended.ini
-1,PACENOTE,STANDARD_CALL,Standardansage,,0,pacenotes/Rbr-Enhanced.ini/packages/Extended.ini/modifier/Extended.ini
-1,PACENOTE,STANDARD_CALL,Standardansage,,0,pacenotes/Rbr-Enhanced.ini/modifier/Extended.ini
-1,PACENOTE,TIGHTENS,Verengung,tightens.ogg,1,pacenotes/Rbr.ini/packages/Extended.ini/modifier/Extended.ini
